w,77.0,676.0,149.0,676.0
w,80.0,599.0,120.0,502.0
w,119.0,501.0,271.0,476.0
w,140.0,581.0,158.0,544.0
w,158.0,543.0,267.0,519.0
w,271.0,474.0,397.0,512.0
w,396.0,515.0,366.0,641.0
w,266.0,518.0,339.0,538.0
w,337.0,540.0,316.0,606.0
w,329.0,665.0,146.0,677.0
w,316.0,605.0,143.0,628.0
w,141.0,627.0,138.0,578.0
w,327.0,664.0,366.0,640.0
w,80.0,598.0,76.0,675.0
c,77.0,616.0,137.0,614.0
c,88.0,576.0,138.0,581.0
c,107.0,530.0,156.0,545.0
c,154.0,495.0,178.0,537.0
c,200.0,488.0,217.0,529.0
c,260.0,477.0,259.0,521.0
c,299.0,483.0,296.0,527.0
c,342.0,492.0,331.0,536.0
c,338.0,538.0,396.0,514.0
c,330.0,561.0,383.0,567.0
c,320.0,586.0,374.0,597.0
c,313.0,605.0,350.0,648.0
c,284.0,608.0,297.0,668.0
c,249.0,611.0,262.0,671.0
c,218.0,617.0,227.0,669.0
c,184.0,622.0,191.0,675.0
c,149.0,628.0,147.0,676.0
c,142.0,624.0,77.0,676.0
