w,281.0,572.0,281.0,258.0
w,247.0,96.0,587.0,117.0
w,281.0,261.0,304.0,155.0
w,585.0,118.0,388.0,324.0
w,372.0,234.0,306.0,355.0
w,387.0,325.0,470.0,397.0
w,471.0,396.0,655.0,400.0
w,423.0,463.0,597.0,469.0
w,654.0,402.0,726.0,558.0
w,725.0,560.0,439.0,707.0
w,594.0,469.0,628.0,533.0
w,625.0,533.0,425.0,633.0
w,445.0,706.0,214.0,660.0
w,216.0,664.0,218.0,564.0
w,275.0,569.0,427.0,634.0
w,305.0,353.0,426.0,461.0
w,247.0,94.0,223.0,270.0
w,302.0,155.0,429.0,169.0
w,426.0,171.0,371.0,239.0
w,217.0,564.0,222.0,268.0
c,200.0,513.0,300.0,513.0
c,196.0,465.0,293.0,465.0
c,193.0,419.0,297.0,414.0
c,204.0,387.0,287.0,387.0
c,209.0,331.0,287.0,330.0
c,204.0,281.0,305.0,292.0
c,211.0,242.0,292.0,250.0
c,221.0,184.0,314.0,206.0
c,229.0,141.0,305.0,168.0
c,246.0,90.0,308.0,154.0
c,311.0,89.0,337.0,162.0
c,368.0,91.0,379.0,166.0
c,418.0,97.0,417.0,167.0
c,427.0,169.0,495.0,113.0
c,414.0,179.0,588.0,145.0
c,394.0,193.0,514.0,216.0
c,366.0,211.0,480.0,244.0
c,344.0,252.0,468.0,275.0
c,335.0,272.0,432.0,298.0
c,314.0,318.0,414.0,314.0
c,299.0,356.0,414.0,337.0
c,334.0,398.0,438.0,360.0
c,385.0,440.0,464.0,386.0
c,454.0,471.0,505.0,395.0
c,514.0,477.0,558.0,394.0
c,559.0,478.0,611.0,394.0
c,590.0,490.0,667.0,419.0
c,606.0,516.0,697.0,480.0
c,614.0,531.0,727.0,560.0
c,593.0,543.0,665.0,595.0
c,557.0,561.0,621.0,621.0
c,517.0,574.0,584.0,646.0
c,473.0,598.0,534.0,665.0
c,432.0,619.0,483.0,693.0
c,406.0,617.0,416.0,715.0
c,372.0,601.0,374.0,695.0
c,343.0,589.0,322.0,686.0
c,320.0,584.0,269.0,675.0
c,292.0,568.0,210.0,644.0
c,287.0,545.0,210.0,566.0
